t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1,local2,local3,local4,local5,local6,local7,local8,local9,local10,local11,local12,local13,local14,local15,local16
0,0,0,10000,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1002958.88,50,9439.9375,1006204.19,996764.25,0,1002958.88,1002958.88,1002958.88,0,1002958.88,1002958.88,-0,0,1002958.88,0,-98.6796494
1,0,0,10000,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1003324,100,9035.17383,1006215.38,996764.25,1369.15625,1004328,1003324,1002958.88,182.5625,1003141.44,1002958.88,2738.3125,0.00273025036,1002958.88,-2738.3125,-61.6775475
2,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1003864.69,100,8672.84863,1008520.31,996764.25,1821.5863,1005345,1003864.69,1002958.88,372.104462,1003382.5,1002958.88,1681.75,0.00440704823,1002958.88,-1681.75,-56.0018921
3,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1004554,100,8276.10059,1009766.62,996764.25,2245.28516,1006267.44,1004554,1002958.88,600.969604,1003675.38,1002958.88,1655.8125,0.00605797768,1005697.19,-1655.8125,-51.2960091
4,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1005374.56,100,8147.79004,1013113.44,996764.25,2681.14746,1007155.62,1005374.56,1002958.88,866.533997,1004015.19,1003324,1673.625,0.00772666931,1007378.94,-1673.625,-46.9022865
5,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1006331.31,100,7813.63525,1013364.81,996764.25,3167.38184,1008054.69,1006331.31,1002958.88,1170.79907,1004401.25,1003864.69,1841.8125,0.00956296921,1009034.75,-1841.8125,-42.4011955
6,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1007036,97.1818466,7398.98291,1013364.81,996764.25,3186.31421,1008563.5,1007036,1002958.88,1423.01868,1004777.62,1004554,-933.625,0.00863218307,1010708.38,933.625,-42.2315979
7,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1007926.75,97.3619308,7169.01562,1014757.38,996764.25,3433.33838,1009207.62,1007926.75,1002958.88,1690.12549,1005171.25,1005374.56,2100,0.010725975,1012550.19,-2100,-40.0839005
8,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1009554.94,97.8205566,7260.52344,1021155.5,996764.25,4719.9165,1010422.12,1009554.94,1002958.88,2106.43286,1005658.31,1006331.31,6421.375,0.0171283484,1011616.56,-6421.375,-29.9841156
9,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1011394.56,98.007309,6992.28076,1023497.94,996764.25,5924.26074,1011715.12,1011394.56,1002958.88,2637.18188,1006232,1007036,3214.375,0.0203332901,1013716.56,-3214.375,-21.7167587
10,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1013036.62,98.0275803,6775.79199,1025512.31,996764.25,6617.95361,1012805.56,1013036.62,1002958.88,3185.78149,1006850.62,1007926.75,357.9375,0.0206902027,1020137.94,-357.9375,-17.3308563
11,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1014534.25,98.06073,6562.28906,1025883.44,996764.25,7084.1875,1013760.81,1014534.25,1002958.88,3716.63159,1007490.94,1009554.94,558.75,0.0212472677,1023352.31,-558.75,-14.5112686
