t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0
0,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,50
1,0,0,10000,0,1,0,0,0.0299999993,0,0,0.75,100
2,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,100
3,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,100
4,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,100
5,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,100
6,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,97.1818466
7,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,97.3619308
8,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,97.8205566
9,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,98.007309
10,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,98.0275803
11,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,98.06073
12,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,88.9390869
13,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,89.0547485
14,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,89.3635712
15,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,90.3418427
16,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,81.7466278
17,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,68.0022202
18,0,0,10000,0,1,0,0,0.0299999993,0,0,0.75,73.1891251
19,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,62.325592
20,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,62.5390816
21,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,62.7044449
22,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,68.7470474
23,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,65.2966309
24,0,0,10000,0,1,0,0,0.0299999993,0,0,0.75,71.2790375
25,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,66.4399109
26,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,65.0113754
27,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,60.1945801
28,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,52.2820969
29,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,52.6898613
30,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,53.4634781
31,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,48.9842262
32,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,49.2106781
33,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,52.9347725
34,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,59.2652206
35,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,57.7489319
36,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,61.1483574
37,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,61.1794586
38,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,61.4482651
39,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,57.060112
40,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,60.9829369
41,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,54.6941528
42,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,55.5978012
43,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,60.5467148
44,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,58.4505424
45,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,60.8925209
46,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,56.3607826
47,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,65.8608627
48,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,67.7083588
49,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,62.034523
50,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,59.0942574
51,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,56.710453
52,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,56.3321228
53,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,50.6072807
54,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,50.4938965
55,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,51.9004211
56,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,56.7734299
57,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,55.4718628
58,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,54.5388031
59,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,51.2110825
60,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,57.450325
61,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,49.7047691
62,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,42.1778564
63,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,34.3812675
64,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,43.0831146
65,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,38.5353546
66,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,40.5981407
67,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,42.8484306
68,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,45.542099
69,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,49.2829323
70,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,49.8865891
71,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,37.4478378
72,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,36.0366287
73,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,42.0430679
74,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,43.4104347
75,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,47.336628
76,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,50.2908249
77,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,44.2986145
78,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,43.9962425
79,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,41.6608849
80,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,43.2361336
81,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,46.5272903
82,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,49.5487137
83,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,52.6254005
