t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1
0,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1002958.88,1002958.88
1,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1004328,1004328
2,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1005345,1005345
3,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1006267.44,1006267.44
4,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1007155.62,1007155.62
5,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1008054.69,1008054.69
6,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1008563.5,1008563.5
7,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1009207.62,1009207.62
8,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1010422.12,1010422.12
9,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1011715.12,1011715.12
10,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1012805.56,1012805.56
11,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1013760.81,1013760.81
12,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1014325.69,1014325.69
13,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1014833.69,1014833.69
14,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1015331.31,1015331.31
15,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1015946.12,1015946.12
16,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1016309.44,1016309.44
17,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1016298.44,1016298.44
18,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1016626.62,1016626.62
19,0,0,10000,0,0,0,0,0.0199999996,0,0,1,1016601.38,1016601.38
20,0,0,10000,1,0,0,0,0.0199999996,0,0,1,1017271,1016589.5
21,1,1016859.12,9986.63574,0,0,0,0,0.0199999996,0,0,1,1017812.12,1016586.25
22,1,1016859.12,10053.0557,0,0,0,0,0.0199999996,0,0,1,1018606.62,1016876.88
23,1,1016859.12,10032.9404,0,0,0,0,0.0199999996,0,0,1,1019216.31,1017058.06
24,1,1016859.12,10110.458,0,0,0,0,0.0199999996,0,0,1,1020136.31,1017540.06
25,1,1016859.12,10080.0459,0,0,0,0,0.0199999996,0,0,1,1020809.5,1017866.06
26,1,1016859.12,10070.9053,0,0,0,0,0.0199999996,0,0,1,1021482.88,1018133.5
27,1,1016859.12,10039.3174,0,0,0,0,0.0199999996,0,0,1,1021890.81,1018267.06
28,1,1016859.12,9979.40527,0,0,0,0,0.0199999996,0,0,1,1021673,1018181.38
29,1,1016859.12,9983.05273,0,0,0,0,0.0199999996,0,0,1,1021313,1018113.75
30,1,1016859.12,9989.64258,0,0,0,0,0.0199999996,0,0,1,1020968.62,1018072.06
31,1,1016859.12,9955.4248,0,0,0,0,0.0199999996,0,0,1,1020422.38,1017924.31
32,1,1016859.12,9957.11523,0,0,0,0,0.0199999996,0,0,1,1020043,1017790.69
33,1,1016859.12,9985.10449,0,0,0,0,0.0199999996,0,0,1,1019789.31,1017748.56
34,1,1016859.12,10040.1875,0,0,0,0,0.0199999996,0,0,1,1019772.38,1017869
35,1,1016859.12,10030.2031,0,0,0,0,0.0199999996,0,0,1,1019561.31,1017954.56
36,1,1016859.12,10061.9111,0,0,0,0,0.0199999996,0,0,1,1019663.81,1018122.62
37,1,1016859.12,10062.2041,0,0,0,0,0.0199999996,0,0,1,1020068.31,1018282.5
38,1,1016859.12,10064.5752,0,0,0,0,0.0199999996,0,0,1,1020163.69,1018440.5
39,1,1016859.12,10040.1201,0,0,0,0,0.0199999996,0,0,1,1020455.31,1018528.38
40,1,1016859.12,10072.0908,0,0,0,0,0.0199999996,0,0,1,1020898,1018691.31
41,1,1016859.12,10034.7275,0,0,0,0,0.0199999996,0,0,1,1021142.5,1018756
42,1,1016859.12,10041.5742,0,0,0,0,0.0199999996,0,0,1,1021084.12,1018833.88
43,1,1016859.12,10081.5596,0,0,0,0,0.0199999996,0,0,1,1021331.38,1019000.56
44,1,1016859.12,10069.6123,0,0,0,0,0.0199999996,0,0,1,1021123.81,1019132.88
45,1,1016859.12,10089.6211,0,0,0,0,0.0199999996,0,0,1,1021172.38,1019303.62
46,1,1016859.12,10064.2031,0,0,0,0,0.0199999996,0,0,1,1021138.31,1019412.19
47,1,1016859.12,10152.4551,0,0,0,0,0.0199999996,0,0,1,1021713.5,1019703.19
48,1,1016859.12,10173.9922,0,0,0,0,0.0199999996,0,0,1,1022702.88,1020026.94
49,1,1016859.12,10140.1924,0,0,0,0,0.0199999996,0,0,1,1023501.81,1020269.06
50,1,1016859.12,10121.5576,0,0,0,0,0.0199999996,0,0,1,1024172.5,1020464.5
51,1,1016859.12,10106.2109,0,0,0,0,0.0199999996,0,0,1,1024939.19,1020622.38
52,1,1016859.12,10103.8389,0,0,0,0,0.0199999996,0,0,1,1025685.19,1020769.81
53,1,1016859.12,10066.4824,0,0,0,0,0.0199999996,0,0,1,1026098.88,1020841.44
54,1,1016859.12,10065.7158,0,0,0,0,0.0199999996,0,0,1,1026228.81,1020909
55,1,1016859.12,10075.0049,0,0,0,0,0.0199999996,0,0,1,1026456.5,1020991.06
56,1,1016859.12,10109.2295,0,0,0,0,0.0199999996,0,0,1,1026697.19,1021131.31
57,1,1016859.12,10101.8691,0,0,0,0,0.0199999996,0,0,1,1026898.81,1021253.81
58,1,1016859.12,10096.7695,0,0,0,0,0.0199999996,0,0,1,1027062.38,1021363.31
59,1,1016859.12,10078.4736,0,0,0,0,0.0199999996,0,0,1,1027257.38,1021438.19
60,1,1016859.12,10119.3018,0,0,0,0,0.0199999996,0,0,1,1027497.5,1021578.69
61,1,1016859.12,10073.1035,0,0,0,0,0.0199999996,0,0,1,1027692.69,1021638.81
62,1,1016859.12,10016.3223,0,0,0,0,0.0199999996,0,0,1,1027564.19,1021605.44
63,1,1016859.12,9937.36523,0,0,0,0,0.0199999996,0,0,1,1026831,1021447.69
64,1,1016859.12,9998.00391,0,0,0,0,0.0199999996,0,0,1,1026467,1021389.62
65,1,1016859.12,9947.89453,0,0,0,0,0.0199999996,0,0,1,1025746.5,1021256.12
66,1,1016859.12,9963.20215,0,0,0,0,0.0199999996,0,0,1,1025233,1021149.88
67,1,1016859.12,9979.87793,0,0,0,0,0.0199999996,0,0,1,1024355.62,1021071.62
68,1,1016859.12,10000.0977,0,0,0,0,0.0199999996,0,0,1,1023471.38,1021025.5
69,1,1016859.12,10029.4785,0,0,0,0,0.0199999996,0,0,1,1022908.5,1021023.31
70,1,1016859.12,10034.2627,0,0,0,0,0.0199999996,0,0,1,1022464.62,1021028.06
71,1,1016859.12,9910.28418,0,0,0,0,0.0199999996,0,0,1,1021468.5,1020857.56
72,1,1016859.12,9892.20312,0,1,0,0,0.0199999996,0,0,1,1020392.5,1020666.5
73,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1019741.19,1020544.12
74,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1019149.81,1020439.88
75,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1018675.88,1020381.81
76,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1018158.81,1020359.19
77,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1017386,1020261.94
78,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1016623.31,1020163.25
79,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1015834,1020037.12
80,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014895.19,1019928.38
81,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014314.5,1019852.38
82,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014140.38,1019806.62
83,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014493.69,1019791.88
84,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014478.19,1019763.31
85,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014535.62,1019693.12
86,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014502.88,1019621.69
87,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014640.62,1019609.94
88,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014885.19,1019645.5
89,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1014932.38,1019669.69
90,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1015087.5,1019722.38
91,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1015887,1019776.94
92,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1016609.38,1019794
93,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1017258,1019844.94
94,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1017607.19,1019843.62
95,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1017845.38,1019853.44
96,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1018227.31,1019919.69
97,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1018889.5,1019981.94
98,0,0,9877.35449,0,0,0,0,0.0199999996,0,0,1,1019848,1020099.69
99,0,0,9877.35449,1,0,0,0,0.0199999996,0,0,1,1020857.69,1020201.38
100,1,1030779.56,9850.69824,0,0,0,0,0.0199999996,0,0,1,1021747.38,1020462.06
101,1,1030779.56,9847.0918,0,0,0,0,0.0199999996,0,0,1,1022495.38,1020691.69
102,1,1030779.56,9878.03516,0,0,0,0,0.0199999996,0,0,1,1023286.81,1020936.56
103,1,1030779.56,9865.25195,0,0,0,0,0.0199999996,0,0,1,1023885.62,1021151.69
104,1,1030779.56,9887.21875,0,0,0,0,0.0199999996,0,0,1,1024659.5,1021373.06
105,1,1030779.56,9874.51758,0,0,0,0,0.0199999996,0,0,1,1025548.69,1021562.62
106,1,1030779.56,9869.70117,0,0,0,0,0.0199999996,0,0,1,1026425.31,1021756.56
107,1,1030779.56,9887.57812,0,0,0,0,0.0199999996,0,0,1,1027139.88,1021948.25
108,1,1030779.56,9900.28418,0,0,0,0,0.0199999996,0,0,1,1027711.38,1022088.81
109,1,1030779.56,9955.41016,0,0,0,0,0.0199999996,0,0,1,1028618.12,1022254.88
110,1,1030779.56,9966.04004,0,0,0,0,0.0199999996,0,0,1,1029448.38,1022428.38
111,1,1030779.56,9905.67969,0,0,0,0,0.0199999996,0,0,1,1029949.5,1022533.5
112,1,1030779.56,9940.19629,0,0,0,0,0.0199999996,0,0,1,1030799.81,1022706.19
113,1,1030779.56,9920.96289,0,0,0,0,0.0199999996,0,0,1,1031388.81,1022855.38
114,1,1030779.56,9949.45996,0,0,0,0,0.0199999996,0,0,1,1032369.81,1023025.69
115,1,1030779.56,9919.37402,0,0,0,0,0.0199999996,0,0,1,1033140.19,1023135.94
116,1,1030779.56,9887.29395,0,0,0,0,0.0199999996,0,0,1,1033468.62,1023243.12
117,1,1030779.56,9930.3623,0,0,0,0,0.0199999996,0,0,1,1034034.69,1023455.44
118,1,1030779.56,9972.08594,0,0,0,0,0.0199999996,0,0,1,1034537.62,1023647.12
119,1,1030779.56,9870.83203,0,0,0,0,0.0199999996,0,0,1,1034580.81,1023797.12
120,1,1030779.56,9878.95801,0,0,0,0,0.0199999996,0,0,1,1034728.31,1023953.38
121,1,1030779.56,9879.64062,0,0,0,0,0.0199999996,0,0,1,1034898.12,1024108.75
122,1,1030779.56,9834.27148,0,0,0,0,0.0199999996,0,0,1,1034669.81,1024149.06
123,1,1030779.56,9804.47852,0,0,0,0,0.0199999996,0,0,1,1034352.69,1024178.81
124,1,1030779.56,9690.67676,0,0,0,0,0.0199999996,0,0,1,1033327.19,1024011.06
125,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1032319.31,1023864.38
126,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1031213.19,1023702.5
127,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1030187.62,1023607.25
128,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1029353.5,1023624.75
129,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1028041,1023600.38
130,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1026477.38,1023530
131,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1024910.31,1023430.81
132,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1023423.12,1023382
133,0,0,9655.41602,0,1,0,0,0.0199999996,0,0,1,1021978.62,1023293.06
134,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1020495.81,1023170.19
135,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1019067.62,1023037.06
136,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1017823.19,1022874.88
137,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1016322.81,1022706.31
138,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1014432.88,1022500.81
139,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1012926,1022291.19
140,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1010919.19,1021957.62
141,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1008889.31,1021658.06
142,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1006830.81,1021298.56
143,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1004846.5,1020882
144,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1003556.81,1020497.81
145,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1002173.5,1020064.81
146,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,1001014.81,1019678
147,0,0,9655.41602,0,0,0,0,0.0199999996,0,0,1,999574.625,1019179.81
